Name,Released Year,Age limit,Duration,Type,Stars
The Seven Deadly Sins: Cursed by Light,2021,13+ ,1h 20m,Fantasy Anime,"Yuki Kaji, Sora Amamiya, Misaki Kuno"
Tales from Earthsea,2006,13+ ,1h 55m,Drama Anime,"Junichi Okada, Aoi Teshima, Bunta Sugawara"
The Tale of The Princess Kaguya,2013,13+ ,2h 17m,Historical Anime,"Aki Asakura, Kengo Kora, Takeo Chii"
Ocean Waves,1993,7+ ,1h 12m,School Anime,"Nobuo Tobita, Yoko Sakamoto, Toshihiko Seki"
Batman Ninja,2018,13+ ,1h 25m,Historical Anime,"Koichi Yamadera, Wataru Takagi, Ai Kakuma"
Flavors of Youth: International Version,2018,13+ ,1h 14m,Adult Animation,"Taito Ban, Mariya Ise, Minako Kotobuki"
Dragon Quest Your Story,2019,13+ ,1h 42m,Anime Movies,"Takeru Satoh, Kasumi Arimura, Haru"
My Neighbors the Yamadas,1999,7+ ,1h 43m,Anime Movies,"Yukiji Asaoka, Toru Masuoka, Masako Araki"
New Gods: Nezha Reborn,2021,13+ ,1h 50m,Adult Animation,"Yang Tianxiang, Zhang He, Xuan Xiaoming"
Violet Evergarden: Eternity and the Auto Memory Doll,2019,7+ ,1h 30m,Drama Anime,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki"
Child of Kamiari Month,2021,13+ ,1h 40m,Fantasy Anime,"Aju Makita, Maaya Sakamoto, Miyu Irino"
NiNoKuni,2019,13+ ,1h 46m,Fantasy Anime,"Kento Yamazaki, Mackenyu, Mei Nagano"
Monster Hunter: Legends of the Guild,2021,13+ ,58m,Fantasy Anime,"Ben Rausch, Erica Lindbeck, Dante Basco"
Modest Heroes: Ponoc Short Films Theatre,2018,7+ ,53m,Kids & Family Movies,"Maggie Q, Henry Kaufman, Liam O'Brien"
Black Mirror: Bandersnatch,2018,18+ ,1h 30m,TV Dramas,"Fionn Whitehead, Will Poulter, Craig Parkinson"
Mowgli: Legend of the Jungle,2018,13+ ,1h 44m,Movies Based on Books,"Christian Bale, Cate Blanchett, Benedict Cumberbatch"
Baby Driver,2017,18+ ,1h 53m,Comedies,"Ansel Elgort, Kevin Spacey, Lily James"
Ronaldo,2015,7+ ,1h 32m,Documentary Films,Cristiano Ronaldo
Notting Hill,1999,13+ ,2h 3m,Romantic Movies,"Julia Roberts, Hugh Grant, Rhys Ifans"
Snatch,2000,18+ ,1h 42m,Comedies,"Jason Statham, Benicio Del Toro, Dennis Farina"
Munich – The Edge of War,2021,13+ ,2h 9m,Thriller Movies,"George MacKay, Jannis Niewöhner, Jeremy Irons"
Everest,2015,13+ ,2h 1m,Movies Based on Real Life,"Jason Clarke, Jake Gyllenhaal, Josh Brolin"
The Ritual,2018,18+ ,1h 34m,Movies Based on Books,"Arsher Ali, Rob James-Collier, Rafe Spall"
Sense and Sensibility,1995,7+ ,2h 16m,Romantic Movies,"Emma Thompson, Alan Rickman, Kate Winslet"
The Snowman,2017,18+ ,1h 59m,Thriller Movies,"Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg"
Monty Python and the Holy Grail,1975,16+ ,1h 32m,Classic Movies,"Graham Chapman, John Cleese, Eric Idle"
Apostle,2018,18+ ,2h 10m,Horror Movies,"Dan Stevens, Lucy Boynton, Michael Sheen"
SAS: Rise of the Black Swan,2021,18+ ,2h 5m,Military Movies,"Sam Heughan, Ruby Rose, Andy Serkis"
The Last Shaman,2016,18+ ,1h 22m,Documentary Films,James Freeman
The Dig,2021,16+ ,1h 52m,Movies Based on Real Life,"Carey Mulligan, Ralph Fiennes, Lily James"
The Angel,2018,16+ ,1h 54m,Thriller Movies,"Marwan Kenzari, Hannah Ware, Toby Kebbell"
The Constant Gardener,2005,16+ ,2h 8m,Thriller Movies,"Ralph Fiennes, Rachel Weisz, Danny Huston"
Calibre,2018,18+ ,1h 41m,Thriller Movies,"Jack Lowden, Martin McCann, Tony Curran"
Close,2019,16+ ,1h 34m,Action & Adventure,"Noomi Rapace, Sophie Nélisse, Indira Varma"
Sand Castle,2017,18+ ,1h 53m,Military Movies,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill"
iBOY,2017,18+ ,1h 30m,Thriller Movies,"Bill Milner, Maisie Williams, Rory Kinnear"
Love Wedding Repeat,2020,16+ ,1h 40m,Romantic Movies,"Sam Claflin, Olivia Munn, Freida Pinto"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,13+ ,1h 34m,Classic Movies,"Peter Sellers, George C. Scott, Sterling Hayden"
Monty Python's Life of Brian,1979,16+ ,1h 33m,Classic Movies,"Graham Chapman, John Cleese, Terry Gilliam"
RocknRolla,2008,18+ ,1h 54m,Comedies,"Gerard Butler, Tom Wilkinson, Thandiwe Newton"
How to Build a Girl,2020,16+ ,1h 44m,Comedies,"Beanie Feldstein, Cleo, Paddy Considine"
Cemetery Junction,2010,18+ ,1h 34m,Comedies,"Christian Cooke, Felicity Jones, Tom Hughes"
Death to 2020,2020,16+ ,1h 10m,Comedies,"Samuel L. Jackson, Hugh Grant, Lisa Kudrow"
Under the Shadow,2016,16+ ,1h 24m,Horror Movies,"Narges Rashidi, Avin Manshadi, Bobby Naderi"
The Karate Kid,2010,7+ ,2h 20m,Kids & Family Movies,"Jaden Smith, Jackie Chan, Taraji P. Henson"
Feel the Beat,2020,7+ ,1h 50m,Kids & Family Movies,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin"
Rescued by Ruby,2022,7+ ,1h 33m,Kids & Family Movies,"Grant Gustin, Scott Wolf, Kaylah Zander"
